Code,Description
"16048","America West Airlines Inc. (Latin America)"
"16049","America West Airlines Inc. (Pacific)"
"16052","Amerijet International (Latin America)"
"16054","Airmark Airlines Inc. (International)"
"16055","ATA Airlines d/b/a ATA (International)"
"16056","ATA Airlines d/b/a ATA (Atlantic)"
"16057","Ameristar Air Cargo (International)"
"16059","Arista International Airlines Inc. (International)"
"16061","Arrow Air Inc. (Latin America)"
"16070","Asia Pacific (International)"
"16076","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines (International)"
"16080","Atlantic Gulf Airlines (Latin America)"
"16081","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways (International)"
"16085","ExpressJet Airlines LLC d/b/a aha! (Latin America)"
"16087","Atlas Air Inc. (International)"
"16092","Av Atlantic (International)"
"16111","Blue Bell Inc. (International)"
"16136","Buffalo Airways Inc. (International)"
"16144","TEM Enterprises dba  Avelo Airlines (International)"
"16150","Capitol International Inc. (Atlantic)"
"16151","Capitol International Inc. (Latin America)"
"16160","Capitol Air Express Inc. (International)"
"16165","Capital Cargo International (International)"
"16170","Astar USA, LLC (Atlantic)"
"16171","Astar USA, LLC (Latin America)"
"16180","Centurion Cargo Inc. (Latin America)"
"16181","Challenge Air International Inc. (Latin America)"
"16182","Challenge Air Transport Inc. (Latin America)"
"16187","ExpressJet Airlines Inc. (Latin America)"
"16189","Conner Air Lines Inc. (International)"
"16190","Conner Air Lines Inc. (Latin America)"
"16191","Kitty Hawk International (International)"
"16192","Continental Micronesia (Pacific)"
"16194","Executive Airlines (Latin America)"
"16195","Federal Express Corporation (Latin America)"
"16196","Federal Express Corporation (Atlantic)"
"16197","Federal Express Corporation (Pacific)"
"16198","Florida West Airlines Inc. (International)"
"16199","Florida Express Inc. (Latin America)"
"16201","Evergreen International Inc. (International)"
"16202","Galaxy Airlines Inc. (International)"
"16203","Global International Airways Corp. (International)"
"16204","Five Star Airlines (International)"
"16208","Evergreen International Inc. (Pacific)"
"16210","Guy-America Airways Inc. (Latin America)"
"16211","EOS Airlines, Inc. (Atlantic)"
"16212","Independent Air Inc. (International)"
"16230","Jet Charter Service Inc. (International)"
"16250","Jet Fleet Intl. Airlines (International)"
"16270","Eagle Airlines (International)"
"16280","Key Airlines Inc. (International)"
"16281","Key Airlines Inc. (Latin America)"
"16300","Empire Airlines Inc. (International)"
"16400","Falcon Air Express (International)"
"16451","Fine Airlines Inc. (International)"
"16460","Frontier Airlines Inc. (International)"
"16461","Frontier Airlines Inc. (Latin America)"
"16510","Gemini Air Cargo Airways (Pacific)"
"16561","Gulf Air Transport Inc. (International)"
"16565","Gulf And Caribbean Cargo (International)"
"16590","Interstate Airlines Inc. (International)"
"16620","International Cargo Xpress (International)"
"16640","Orion Air (International)"
"16650","Overseas National Airways (International)"
"16664","Carnival Air Lines Inc. (Latin America)"
"16665","Carnival Air Lines Inc. (International)"
"16670","People Express Airlines Inc. (Atlantic)"
"16673","JetBlue Airways (Latin America)"
"16675","Skyworld Airlines Inc. (International)"
"16681","Express One International Inc. (International)"
"16683","Kalitta Air LLC (International)"
"16688","Kitty Hawk Aircargo (Latin America)"
"16690","Miami Air International (International)"
"16695","Morris Air Corporation (International)"
"16697","Laker Airways Inc. (International)"
"16698","Lorair Ltd. (International)"
"16700","Ryan International Airlines (International)"
"16702","Millon Air Inc. (International)"
"16703","Samoa Airlines Inc. (Pacific)"
"16710","T-Bird Air Inc. (International)"
"16713","Skystar International Inc. (Latin America)"
"16715","South Pacific Island Airway (Pacific)"
"16716","Midway Airlines Inc. (1) (Latin America)"
"16729","Champion Air (International)"
"16730","North American Airlines (Latin America)"
"16736","Omni Air International LLC (International)"
"16749","Pan American Airways Corp. (Latin America)"
"16752","Pan American Airways Corp. (International)"
"16755","Patriot Airlines Inc. (International)"
"16757","Polar Air Cargo Airways (Atlantic)"
"16758","Polar Air Cargo Airways (Pacific)"
"16759","Polar Air Cargo Airways (Latin America)"
"16760","Trans World Airways LLC (Atlantic)"
"16762","Private Jet Expeditions (International)"
"16765","Pace Airlines (International)"
"16766","Pan American World Airways (Latin America)"
"16768","Panagra Airways (International)"
"16770","Kalitta Charters II (International)"
"16770 (1)","Reliant Airlines (International)"
"16772","Renown Aviation (International)"
"16776","Planet Airways (International)"
"16777","Planet Airways (Latin America)"
"16790","Ryan International Airlines (International)"
"16792","Sky Trek International Airlines (International)"
"16793","Suncoast Airlines Inc. (International)"
"16795","Sun Country Airlines d/b/a MN Airlines (Latin America)"
"16797","Sun Pacific International (International)"
"16820","Envoy Air (Latin America)"
"16825","Pacific International Airlines Inc. (International)"
"16831","Spirit Air Lines (Latin America)"
"16841","Southern Air Inc. (International)"
"16853","Sunworld International Airlines (International)"
"16875","Air America (International)"
"16876","Air America (Atlantic)"
"16880","Tower Air Inc. (Atlantic)"
"16881","Tower Air Inc. (Latin America)"
"16883","TPI International Airways (International)"
"16884","Sky Lease Cargo (International)"
"16886","TransMeridian Airlines (International)"
"16890","Trans-Air-Link Corporation (International)"
"16893","Trans American Charter (International)"
"16896","Express.Net Airlines (International)"
"16901","Trans International Airlines Inc. (International)"
"16903","Trans Continental Airlines (International)"
"16907","USAir Shuttle (Latin America)"
"16910","United Parcel Service (International)"
"16911","United Parcel Service (Atlantic)"
"16912","United Parcel Service (Latin America)"
"16913","United Parcel Service (Pacific)"
"16915","Universal Airlines Inc. (International)"
"16916","USAfrica Airways Inc. (Atlantic)"
"16917","USA Jet Airlines Inc. (International)"
"16919","Viscount Air Service Inc. (International)"
"16921","USA 3000 Airlines (International)"
"16927","Winair Inc. (International)"
"16930","World Airways Inc. (Atlantic)"
"16931","World Airways Inc. (International)"
"16932","World Airways Inc. (International)"
"16941","Worldwide Airlines Inc. (International)"
"16946","Worldwide Airlines Services (International)"
"16947","Worldwide Airlines Services (Latin America)"
"16950","Wrangler Aviation Inc. (International)"
"16951","Boston-Maine Airways (International)"
"17022","NetJets Large Aircraft Company L.L.C. (International)"
"17027","Primaris Airlines Inc. (International)"
"17050","MAXjet (Atlantic)"
"17051","MAXjet (Latin America)"
"19321","Flying Tiger Line Inc. (Pacific)"
"19322","Flying Tiger Line Inc. (Atlantic)"
"19323","Flying Tiger Line Inc. (Latin America)"
"19741","Airlift International Inc. (International)"
"19752","Rich International Airways (International)"
"19755","Flagship Express Services (International)"
"19756","Flagship Express Services (Atlantic)"
"19757","Flagship Express Services (Pacific)"
"19765","Southern Air Transport Inc. (International)"
"19767","Southern Air Transport Inc. (Pacific)"
"19768","Global Crossing Airlines, Inc. (International)"
"30005","Air Sunshine Inc. (Domestic)"
"30012","Aeromech Inc. (Domestic)"
"30013","Air New Mexico (Domestic)"
"30018","Air Caribbean (Domestic)"
"30022","Air Carolina (Domestic)"
"30047","Air Illinois Inc. (Domestic)"
"30072","Air Mont. Inc. (Domestic)"
"30075","Air Midwest Inc. (Domestic)"
"30089","Metro Air Northeast Vermont (Domestic)"
"30090","Airpac Inc. (Domestic)"
"30124","Air Wisconsin Airlines Corp (Domestic)"
"30126","Alaska Aeronautical Indust. (Domestic)"
"30131","Alaska Island Air Inc. (Domestic)"
"30139","Brandt Air (Domestic)"
"30145","All Island Air (Domestic)"
"30153","Alpine Air Services Inc. (Domestic)"
"30159","Altair Airlines Inc. (Domestic)"
"30187","Amistad Airlines (Domestic)"
"30201","Antilles Air Boats Inc. (Domestic)"
"30208","Gelco Courier Services Inc. (Domestic)"
"30215","Pacific Coast Airlines (Domestic)"
"30217","Appalachian Flying Service (Domestic)"
"30228","Arnold Aviation (Domestic)"
"30237","Astro Airways (Domestic)"
"30243","Southern Jersey Airways (Domestic)"
"30251","Aviation Services (Domestic)"
"30254","Air Rovers Inc. (Domestic)"
"30258","Bar Harbor Airways (Domestic)"
"30260","Blackhawk Airways Inc. (Domestic)"
"30262","Sun Aire Lines (Domestic)"
"30266","Brower Airways Inc. (Domestic)"
"30275","Burlington Airways Inc. (Domestic)"
"30278","Business Aircraft Corp. (Domestic)"
"30284","Charter Airlines (Domestic)"
"30287","Capitol Air Lines (Domestic)"
"30297","Caribbean Air Services Inc. (Domestic)"
"30312","Cascade Airways Inc. (Domestic)"
"30321","Catalina-Vegas Airlines (Domestic)"
"30323","Catalina Airlines Inc. (Domestic)"
"30327","Catskill Airways Inc. (Domestic)"
"30332","Flying Boat Inc. (Domestic)"
"30336","Chitina Air Service (Domestic)"
"30337","Cochise Airlines Inc. (Domestic)"
"30338","Chautauqua Airlines Inc. (Domestic)"
"30339","Southeastern Commuter (Domestic)"
"30342","Presidential Express (Domestic)"
"30352","Command Airways Inc. (Domestic)"
"30353","Inlet Airlines (Domestic)"
"30357","Commuter Airlines (Domestic)"
"30362","Corporate Air Inc. (Domestic)"
"30372","Crown Airways Inc. (Domestic)"
"30382","Cumberland Airlines (Domestic)"
"30394","Crown Air (Domestic)"
"30397","Downeast Airlines Inc. (Domestic)"
"30402","Eastern Caribbean Airways (Domestic)"
"30410","Empire Airlines Inc. (2) (Domestic)"
"30411","Columbia Pacific Airlines (1) (Domestic)"
"30412","Air Pacific Inc. (Domestic)"
"30426","Scheduled Skyways (Domestic)"
"30438","Florida Airlines Inc. (Domestic)"
"30446","Air North/Nenana (Domestic)"
"30447","Foster Aviation (Domestic)"
"30449","Frontier Flying Service (Domestic)"
"30450","Midway Commuter (Domestic)"
"30453","General Aviation Inc. (Domestic)"
"30474","Golden West Airlines Co. (Domestic)"
"30475","Grand Canyon Airlines (Domestic)"
"30477","Isle Royale Seaplane Serv. (Domestic)"
"30484","Gull Air Inc. (Domestic)"
"30491","Piedmont Airlines (Domestic)"
"30495","Trans-National Airlines Haw (Domestic)"
"30496","Iowa Airlines (Domestic)"
"30497","Skystream Airlines (Domestic)"
"30498","Iliamna Air Taxi (Domestic)"
"30500","Imperial Airlines Inc. (Domestic)"
"30501","Heussler Air Service Corp (Domestic)"
"30502","Hyannis Aviation (Domestic)"
"30528","Key Airlines (Domestic)"
"30533","Havasu Airlines (Domestic)"
"30541","Lawrence Aviation (Domestic)"
"30546","Mesaba Airlines (Domestic)"
"30550","Mackey International Inc. (Domestic)"
"30552","Marco Island Airways Inc. (Domestic)"
"30554","Mcphillips Flying Service (Domestic)"
"30560","Midstate Airlines Inc. (Domestic)"
"30561","Metroflight Airlines (Domestic)"
"30564","Merrimack Aviation Inc. (Domestic)"
"30567","Aero Commuter (Domestic)"
"30580","Mississippi Valley Airlines (Domestic)"
"30590","Ocean Airways Inc. (Domestic)"
"30595","Long Island Airlines (Domestic)"
"30604","National Air Commuter Inc. (Domestic)"
"30608","New England Airlines Inc. (Domestic)"
"30609","New Born Wings Inc. (Domestic)"
"30610","Nevada Airlines (Domestic)"
"30614","E. J. A. Newport Inc. (Domestic)"
"30616","Northaire (Domestic)"
"30623","Harbor Airlines Inc. (Domestic)"
"30627","Allegheny Airlines (Domestic)"
"30628","Pearson Aircraft (Domestic)"
"30629","Air Kentucky Air Lines (Domestic)"
"30641","Phillips Airlines (Domestic)"
"30643","Air Pennsylvania (Domestic)"
"30645","Pilgrim Aviation & Airlines (Domestic)"
"30649","Pocono Airlines Inc. (Domestic)"
"30653","Polar Airways Inc. (Domestic)"
"30655","Precision Valley Aviation (Domestic)"
"30657","Puerto Rico Intl Airlines (Domestic)"
"30661","Provincetown Boston (Domestic)"
"30664","Riverside Air Service (Domestic)"
"30670","Pan Am Express (Domestic)"
"30674","Suburban Airlines (Domestic)"
"30676","Mid-South Aviation Inc. (1) (Domestic)"
"30678","Rio Airways Inc. (Domestic)"
"30682","Rocky Mountain Airways Inc. (Domestic)"
"30686","Ross Aviation Inc. (Domestic)"
"30690","Royale Airlines Inc. (Domestic)"
"30694","Royal Hawaiian Airways Inc. (Domestic)"
"30705","San Juan Airlines Inc. (Domestic)"
"30709","Seaplane Shuttle Transport (Domestic)"
"30710","Scenic Airlines Inc. (Domestic)"
"30715","Sedalia Marshall Boonvl Stg (Domestic)"
"30720","Semo Aviation Inc. (Domestic)"
"30725","Shasta Air Inc. (Domestic)"
"30735","Shawnee Airlines (Domestic)"
"30754","Island Airlines (Domestic)"
"30755","Skyway Aviation Inc. (Domestic)"
"30757","SkyWest Airlines Inc. (Domestic)"
"30766","South Pacific Island Airway (Domestic)"
"30767","Mall Airways Inc. (Domestic)"
"30770","Southeast Airlines Inc. (Domestic)"
"30771","Sterling Air Service (Domestic)"
"30779","Star Aviation Corporation (Domestic)"
"30780","Air America Inc. (Domestic)"
"30784","Westair Airlines Inc. (Domestic)"
"30786","Springfield Air Service (Domestic)"
"30795","Swift Aire Lines Inc. (Domestic)"
"30815","Trans Mo Airlines (Domestic)"
"30845","Sierra Pacific Airlines (Domestic)"
"30856","Great Plains Airlines Inc. (Domestic)"
"30859","Temsco Airlines (Domestic)"
"30861","Associated Aviation Act. (Domestic)"
"30876","Air St. Thomas (Domestic)"
"30885","Britt Airlines Inc. (Domestic)"
"30890","Vieques Air Link Inc. (Domestic)"
"30911","Southeast Alaska Airlines (Domestic)"
"30912","40-Mile Air (Domestic)"
"30920","Winnipesaukee Aviation Inc. (Domestic)"
"30921","Wheeler Airlines (Domestic)"
"37612","Sundance Airlines (Domestic)"
"37626","Peninsula Airways Inc. (Domestic)"
"37632","Hensley Flying Service Inc. (Domestic)"
"37633","ExpressJet Airlines Inc. (Domestic)"
"37635","Chaparral Airlines Inc. (Domestic)"
"37637","Trans Western Airlines Utah (Domestic)"
"37652","Air Central Inc. (1) (Domestic)"
"37653","Flamenco Airways Inc. (Domestic)"
"37656","Air Nebraska Inc. (Domestic)"
"37658","Eagle Commuter Airlines Inc. (Domestic)"
"37666","Trans Southern Airways (Domestic)"
"37667","Aero Virgin Islands Corp. (Domestic)"
"37669","Baja Cortez Airlines (Domestic)"
"37670","Pacific Island Airways (Domestic)"
"37671","Comair Inc. (Domestic)"
"37672","Crown Aviaiton Inc. (Domestic)"
"37676","Pioneer Airways (Domestic)"
"37677","Air U.S. (Domestic)"
"37678","Skycraft Inc. (Domestic)"
"37680","Alaska Central Airways Inc. (Domestic)"
"37681","Air Oregon (Domestic)"
"37682","Soonair Lines Inc. (Domestic)"
"37684","Miller Air Transportersinc (Domestic)"
"37689","Hammonds Commuter Air Serv. (Domestic)"
"37690","Shavano Air Inc. (Domestic)"
"37691","Wings Airways (Domestic)"
"37692","Ede Aire (Domestic)"
"37694","The Maui Commuter (Domestic)"
"37696","Crested Butte Air Service (Domestic)"
"37697","Indiana Airways Inc. (Reid (Domestic)"
"37699","Yosemite Airlines Inc. (Domestic)"
"37700","AAA Airlines (Domestic)"
"37701","Island Airlines Hawaii Inc. (Domestic)"
"37702","Pacific Missionary Aviation (Domestic)"
"37703","Air Express Inc. (Domestic)"
"37704","Coastal Plains Commuter Inc. (Domestic)"
"37707","Cosmopolitan Comm. Airline (Domestic)"
"37708","Christman Air System (Domestic)"
"37709","Century Airlines (Domestic)"
"37710","Airways Of New Mexico Inc. (Domestic)"
"37711","Bankair Inc. (Domestic)"
"37712","Nor East Commuter Airlines (Domestic)"
"37713","Tejas Airlines Inc. (Domestic)"
"37714","Seaco Airlines Inc. (Domestic)"
"37715","Trans Pennsylvania Airlines (Domestic)"
"37717","Princeton Aviation Corp (Domestic)"
"37718","Lake State Airways (Domestic)"
"37722","Freedom Air (Domestic)"
"37723","Las Vegas Airlines (Domestic)"
"37724","Argosy Air Lines Inc. (Domestic)"
"37726","Central States Airline (Domestic)"
"37729","Trans Catalina Airlines (Domestic)"
"37730","Ford-Aire Inc. (Domestic)"
"37731","Air Cargo Enterprises Inc. (Domestic)"
"37734","Oceanair Line (Domestic)"
"37735","Valley Airlines (Domestic)"
"37736","Indo-Pacific International (Domestic)"
"37738","Saber Aviation Inc. (Domestic)"
"37739","Newair Flight Inc. (Domestic)"
"37740","Air Atlantic Airlines Inc. (Domestic)"
"37741","Universal Airways Inc. (Domestic)"
"37743","Coleman Air Transport (Domestic)"
"37744","Air Central Inc. (Domestic)"
"37745","Green Hills Aviation Ltd. (Domestic)"
"37747","Airbama Incorporated (Domestic)"
"37748","Inland Empire Airlines Inc. (Domestic)"
"37749","Big Sky Airlines Inc. (Domestic)"
"37750","Arkansas Traveler Airline (Domestic)"
"37751","East. Indiana Aviation Sale (Domestic)"
"37752","North American Airlines Inc. (Domestic)"
"37753","Indiana Airways Inc. (Pa) (Domestic)"
"37757","Aerotransit Inc. (Domestic)"
"37758","Eagle Airlines (1) (Domestic)"
"37759","Tennessee Airways Inc. (Domestic)"
"37760","Golden Gate Airlines Inc. (Domestic)"
"37761","Wisc Air (Domestic)"
"37762","Channel Flying Inc. (Domestic)"
"37763","Emerald Airlines (Domestic)"
"37765","Air Indiana (Domestic)"
"37766","Mountainwest Airlines (Domestic)"
"37767","Sunbelt Airlines Inc. (Domestic)"
"37768","Bremerton Aviation Inc. (Domestic)"
"37769","Golden South Airlines Inc. (Domestic)"
"37770","Executive Four Winds (Domestic)"
"37772","American Inter-Island Inc. (Domestic)"
"37773","Cothron Aviation (Domestic)"
"37774","Hawking Corporation (Domestic)"
"37775","Envoy Air (Domestic)"
"37777","Sierra Flite Service Inc. (Domestic)"
"37778","East Hampton Aire Inc. (Domestic)"
"37780","ExpressJet Airlines LLC d/b/a aha! (Domestic)"
"37781","Far West Airlines (Domestic)"
"37782","Alamo Commuter Airlines (Domestic)"
"37783","Iowa City Flying Service (Domestic)"
"37784","Air Virginia (Domestic)"
"37785","C & M Airlines (Domestic)"
"37786","Marshall's Air Inc. (Domestic)"
"37787","Holiday Airlines Inc. (Domestic)"
"37788","Desert Pacific Airways (Domestic)"
"37789","Atlantis Airlines Inc. (Domestic)"
"37790","Green Mountain Airlines Ltd. (Domestic)"
"37792","Century Airlines (Cal) (Domestic)"
"37793","Air Bahia (Domestic)"
"37794","Gunnel Aviation Inc. (Domestic)"
"37795","Tulsair Beechcraft Inc. (Domestic)"
"37796","Cape Smythe Air Service (Domestic)"
"37797","Sunbelt (Domestic)"
"37798","Knight Airlines Inc. (Domestic)"
"37799","Vale International Airlines (Domestic)"
"37800","Royal-Air Ltd. (Domestic)"
"37801","Courtesy Air Service Inc. (Domestic)"
"37802","Bas Airlines (Domestic)"
"37803","Ccair (Domestic)"
"37804","Permian Airways Inc. (Domestic)"
"37806","Commutair (Domestic)"
"37807","Pacific Wings Airlines (Domestic)"
"37808","Air East Airlines (Domestic)"
"37809","Transtate Aviation (Domestic)"
"37810","Realwest Airlines (Domestic)"
"37812","Decatur Aviation (Domestic)"
"37813","Crawford Aviation Inc. (Domestic)"
"37814","Desert Pacific Airlines Inc. (Domestic)"
"37815","Metroplex Airlines (Domestic)"
"37816","N. J. Merrimack Airlines (Domestic)"
"37817","Seair Alaska Airlines Inc. (Domestic)"
"37818","Brennan & Hargreaves Inc. (Domestic)"
"37819","Bard-Air Corp. (Domestic)"
"37820","Skyline Airlines (Domestic)"
"37821","Asap Air Inc. (Domestic)"
"37823","Young Flying Service (Domestic)"
"37824","South Coast Airways (Domestic)"
"37826","Bennington Aviation Inc. (Domestic)"
"37828","Michigan Airways Inc. (Domestic)"
"37829","Magum Airlines (Domestic)"
"37830","Freedom Airlines Inc. (Domestic)"
"37831","Coral Air Inc. (Domestic)"
"37832","Metro Air Northeast N Y (Domestic)"
"37833","Ponderosa Aviation Inc. (Domestic)"
"37834","Idee Industries Inc. (Domestic)"
"37835","Aerosun International Airlines Inc. (Domestic)"
"37836","Air Hawaii (Domestic)"
"37837","Trans-Central Airlines Inc. (Domestic)"
"37838","Jer-Don Air (Domestic)"
"37839","Roederer Aviation Inc. (Domestic)"
"37840","Empire Aero Service (Domestic)"
"37841","Northern Eagle Airways Inc. (Domestic)"
"37843","Will's Air (Domestic)"
"37844","Beyer Aviation (Domestic)"
"37845","Maxair Inc. (Domestic)"
"37846","Walker's International (Domestic)"
"37847","Trans Sierra Airlines Inc. (Domestic)"
"37848","Air Chico (Domestic)"
"37849","Wings West Airlines (Domestic)"
"37851","Eastern Carolina Aviation (Domestic)"
"37852","Copper State Airlines (Domestic)"
"37853","Desert Airlines (Domestic)"
"37854","Omak Aviation Airlines (Domestic)"
"37855","Southern Seaplane (Domestic)"
"37856","Golden Carriage Aire (Domestic)"
"37857","Trans Air Inc. (Domestic)"
"37859","Bighorn Airways Inc. (Domestic)"
"37860","Skyfreight (Domestic)"
"37864","Sun Valley Airlines (Domestic)"
"37865","Executive Aviation Inc. (Domestic)"
"37866","Sfo Helicopter Airlines Inc. (Domestic)"
"37867","Gromer Aviation Inc. (Domestic)"
"37868","American Central Airlines (Domestic)"
"37870","Air Colorado (Domestic)"
"37871","Stahmannfarms Inc. (Domestic)"
"37872","Chandler Flyer (Domestic)"
"37873","Lakeland Aviation (Domestic)"
"37874","American Flag Airlines Inc. (Domestic)"
"37875","Sun International Airways (Domestic)"
"37876","P.S. Air Freight Inc. (Domestic)"
"37879","Dickman Aviation Services (Domestic)"
"37880","Coker Aviation Inc. (Domestic)"
"37881","Western Star Airlines Inc. (Domestic)"
"37882","Danbury Airlines (Domestic)"
"37883","Midway Aviation Inc. (Domestic)"
"37884","PSA Airlines Inc. (Domestic)"
"37885","AAA-Action Air Carrier Inc. (Domestic)"
"37886","All Seasons Air Pacific (Domestic)"
"37887","Sunbird Inc. (Domestic)"
"37888","Orion Air Inc. (Domestic)"
"37889","Mid Pacific Airlines Inc. (Domestic)"
"37891","Omaha Aviation (Domestic)"
"37892","Air Americana (Domestic)"
"37893","Omni Pacific Airline (Domestic)"
"37895","Valdez Airlines (Domestic)"
"37897","Sunwest Airlines (Domestic)"
"37898","Viking Express (Domestic)"
"37899","Southcentral Air Inc. (Domestic)"
"37901","Federal Armored Service Inc. (Domestic)"
"37903","Western Charter Inc. (Domestic)"
"37904","Ocean Reef Airways Inc. (Domestic)"
"37905","Pacific National Airways (Domestic)"
"37907","Birchwood Air Service (Domestic)"
"37908","Carriba Air Inc. (Domestic)"
"37909","Offshore Logistics (Domestic)"
"37910","Air-Lift Associates Inc. (Domestic)"
"37911","New York Helicopter Corp. (Domestic)"
"37912","Terre Haute Air Commuter (Domestic)"
"37913","Silver State Airlines (Domestic)"
"37914","Southern Airlines Inc. (Domestic)"
"37915","Astec Air East Inc. (Domestic)"
"37916","Cotton Belt Aviation Inc. (Domestic)"
"37917","Royal American Airways Inc. (Domestic)"
"37918","Stopher Mechanical Inc. (Domestic)"
"37919","DHL Airlines Inc. (Domestic)"
"37920","Island Air Hawaii (Domestic)"
"37921","Richardson Aviation (Domestic)"
"37922","Thorson Aviation (Domestic)"
"37923","Boise Air Service (Domestic)"
"37925","Samoan Airlines Inc. (Domestic)"
"37926","Planes Inc. (Domestic)"
"37927","Trans California Airlines (Domestic)"
"37928","Sierra Express Inc. (Domestic)"
"37929","Air Polynesia Inc. (Domestic)"
"37930","Bellair Inc. (1) (Domestic)"
"37931","Erie Airways Inc. (Domestic)"
"37932","Phoenix Airlines (Domestic)"
"37933","Air Cargo America Inc. (Domestic)"
"37934","Pro Air Services (Domestic)"
"37935","Air Cortez International (Domestic)"
"37936","Piasa Commuter Airlines (Domestic)"
"37937","Cen-Tex Airlines Inc. (Domestic)"
"37938","Arizona Aero Corp. (Domestic)"
"37939","Vagabond Aviation Inc. (Domestic)"
"37940","Arizona Pacific Inc. (Domestic)"
"37941","Trans-Colorado Airlines (Domestic)"
"37942","Aeronaves Boringuena Inc. (Domestic)"
"37943","Cal Sierra Airlines (Domestic)"
"37944","Air Cargo Express Inc. (Domestic)"
"37946","Lancer Aviation Inc. (Domestic)"
"37948","Air Vectors Airways (Domestic)"
"37949","Midwest Aviation (Domestic)"
"37950","Trans New York (Domestic)"
"37951","Metro Airlines (Domestic)"
"37952","Trans East International (Domestic)"
"37953","Air Chaparral Inc. (Domestic)"
"37954","Pompano Airways (Domestic)"
"37955","Sajen Air Inc. (Domestic)"
"37956","Arrowhead Airways Inc. (Domestic)"
"37957","Choi Aviation Inc. (Domestic)"
"37958","Mid Continental Airlines In (Domestic)"
"37959","Petro Aviation Corp. (Domestic)"
"37960","Horizon Air (Domestic)"
"37961","Evanston Aviation (Domestic)"
"37962","Trans Air Cargo Inc. (Domestic)"
"37963","Altus Airlines (Domestic)"
"37964","Atlantic Air (Domestic)"
"37965","Northern Star (Domestic)"
"37966","Aero International Airlines (Domestic)"
"37967","Centennial Airlines (Domestic)"
"37968","Skytrain (Domestic)"
"37969","Pacific Cal Air (Domestic)"
"37970","State Airlines Inc. (Domestic)"
"37971","Dauphin Island Airways (Domestic)"
"37972","Golden Pacific Airlines (Domestic)"
"37973","Devoe Airlines (Domestic)"
"37974","Air Molakai (Domestic)"
"37975","Dolphin Airways Inc. (Domestic)"
"37976","Bemidji Airlines (Domestic)"
"37977","Mission Air (Domestic)"
"37978","Air New Orleans (Domestic)"
"37979","Air South (1) (Domestic)"
"37980","Atlanta Express (Domestic)"
"37981","Williams Air Inc. (Domestic)"
"37982","Royal West Airways Inc. (Domestic)"
"37983","Slocum Air Inc. (Domestic)"
"37984","Air Vermont Inc. (Domestic)"
"37985","Air East Of Delaware Inc. (Domestic)"
"37986","National Florida Airlines (Domestic)"
"37987","Virgin Islands Seaplane (Domestic)"
"37988","Friendship Air Alaska (Domestic)"
"37989","Minuteman Aviation Inc. (Domestic)"
"37990","Northern Airlines Inc. (Domestic)"
"37991","Aspen Airways Inc. (Domestic)"
"37992","Desert Sun Airlines (Domestic)"
"37993","Burlington Aeroplane Co. (Domestic)"
"37994","Wright Airlines Inc. (Domestic)"
"37996","Great Lakes Airlines (Domestic)"
"37997","Kodiak Airways Inc. (Domestic)"
"37998","Air Resorts Airlines (Domestic)"
"37999","Manu'a Air Transport (Domestic)"
"38000","Service Aviation Inc. (Domestic)"
"38001","Sundorph Aeronautical Corp. (Domestic)"
"38002","Seaport Airlines, Inc. (Domestic)"
"38003","Dash Air Corporation (Domestic)"
"38004","National Commuter Airlines (Domestic)"
"38005","Lake Union Air Service (Domestic)"
"38006","Waring Air (Domestic)"
"38007","Audi Air Inc. (Domestic)"
"38008","Eastman Airways Inc. (Domestic)"
"38009","NEW PACIFIC AIRLINES (Domestic)"
"38010","Arcata Flying Service (Domestic)"
"38011","Trans States Airlines (Domestic)"
"38012","Markair Express (Domestic)"
"38014","Spirit Helicopter (Domestic)"
"38015","The Time Machine (Domestic)"
"38016","Mid-Atlantic Exp. Airlines (Domestic)"
"38017","Ryan Air f/k/a Arctic Transportation (Domestic)"
"38018","Panorama Air Tours (Domestic)"
"38019","Executive Charter (Domestic)"
"38020","Air Sedona (Domestic)"
"38021","Airmarc Airlines Inc. (Domestic)"
"38022","Tri-State Airlines Inc. (Domestic)"
"38023","Southern Airways (Domestic)"
"38024","Atlantic Gulf Airlines (Domestic)"
"38025","Grand Canyon Helicopters (Domestic)"
"38026","Aviation Associates (Domestic)"
"38027","Caribbean Express Inc. (Domestic)"
"38028","Americair Inc. (Domestic)"
"38029","Mesa Airlines Inc. (Domestic)"
"38030","Silver Kris Services Ltd. (Domestic)"
"38031","Alpine Air (Domestic)"
"38032","Empire Airlines Inc. (Domestic)"
"38033","Airspur Helicopters Inc. (Domestic)"
"38034","Ellis Air Taxi Inc. (Domestic)"
"38035","Resort Airlines Inc. (Domestic)"
"38036","Baker Aviation Inc. (Domestic)"
"38037","Westflight Aviation (Domestic)"
"38038","Metro Express (Domestic)"
"38039","Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service (Domestic)"
"38040","Air Spirit Inc. (Domestic)"
"38041","Frontier Commuter (Domestic)"
"38042","Trump Air (Domestic)"
"38043","Flirite Inc. (Domestic)"
"38044","Talarik Creek Air Taxi (Domestic)"
"38045","Arctic Circle Air Service (Domestic)"
"38046","North Pacific Airlines Inc. (Domestic)"
"38047","Chisum Flying Service (Domestic)"
"38048","Armstrong Air Service Inc. (Domestic)"
